,id,tid,tweet,user_id,coordinates,created_at,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,quoted_status_id,retweet_count,source,is_retweet,hashtag_id,text
0,1,1131614151137062913,How can people like partying. I can't stand too loud music and a small room full of sweating alcoholic idiots. hmmpf.,1,,2019-05-23 17:33:32,0,,,,en,,0,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",False,,
1,2,1131614151116124161,"RT @thehowie: @LindseyGrahamSC And Mueller said he could NOT exonerate him!  And left it to Congress to decide. Are you willfully ignorant,…",2,,2019-05-23 17:33:32,0,,,,en,,495,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,,
2,3,1131614151116087296,RT @fuckitydarkside: Oh my god!!! @JeffreeStar cosmetics has invaded the Philippines!! 💕♥ https://t.co/yDVI6nkQCU,3,,2019-05-23 17:33:32,0,,,,en,,698,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,,
3,4,1131614151153819648,"RT @SkeltonRobbie21: shawn: *yawns* 

sean: *yeans*",4,,2019-05-23 17:33:32,0,,,,en,,15454,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,,
4,5,1131614151124688896,RIP Tommy ❤️,5,,2019-05-23 17:33:32,0,,,,en,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,
5,6,1131614151154049024,"RT @FaithReeI: Put your trust in God, not man.",6,,2019-05-23 17:33:32,0,,,,en,,751,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,,
6,7,1131614151124639747,"RT @EddieDonovan: Rep. Ilhan Omar (D-MN) attacks conservative people of faith on the House floor, suggests that their concern for unborn ba…",7,,2019-05-23 17:33:32,0,,,,en,,2568,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",True,,
7,8,1131614151149727744,@RPAutoBase WANG JYUNHAO PDX101,8,,2019-05-23 17:33:32,0,RPAutoBase,1131612042375311361,817668664602161152,en,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,
8,9,1131614151141396482,Fake News – Joe Biggs https://t.co/IfnGjNa3zE,9,,2019-05-23 17:33:32,16,,,,en,,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,
9,10,1131614151137267712,"RT @NewYorkStateAG: The rule means a nurse could refuse to give a measles vaccination, an ER doctor could refuse to care for a pregnant wom…",10,,2019-05-23 17:33:32,0,,,,en,,344,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",True,,
10,11,1131614151124639746,RT @LeeCamp: Proposing plans to collapse a society to steal their oil should sicken all of us. We only accept it because we are so used to…,11,,2019-05-23 17:33:32,0,,,,en,,211,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,,
